School,City,Zip Code,2023 Student Enrollments,AZ Rank,Student-Teacher Ratio,Graduation Rate%,Dual Enrollment,Offers Electives,Free Lunch (%),Mental Health Services,Racial % - White,Racial % - Asian,Racial % - Hispanic,Gender - Male,Gender - Female,AP Classes,School Grade,Inexperienced Core Acadamic Teachers
Oasis Recovery,"Chandler, AZ",85249,-,-,-,-,Yes,Yes,-,FALSE,-,-,-,-,-,No,-,-
Paragon Science Academy,"Chandler, AZ",85249,524,113,-,-,Yes,Yes,29,TRUE,35.83,24.31,8.04,318,290,No,A,9
Primavera - Online,"Chandler, AZ",85249,5697,456,-,-,Yes,Yes,-,FALSE,40.17,1.22,43.61,3059,4088,Yes,D,34
Santan Junior High School,"Chandler, AZ",85249,1227,125,20:1,-,Yes,Yes,-,FALSE,62.13,6.51,18.48,580,587,No,B,4
Seton Catholic Preparatory High School,"Chandler, AZ",85249,571,-,14:1,-,Yes,Yes,-,FALSE,-,-,-,-,-,Yes,-,-
Tri-city Christian Academy,"Chandler, AZ",85249,205,-,9:1,-,Yes,Yes,-,TRUE,75.39,-,17.19,-,-,No,-,-
Valley Christian High School,"Chandler, AZ",85249,-,-,-,-,Yes,Yes,-,TRUE,-,-,-,-,-,No,-,-
Willis Junior High School,"Chandler, AZ",85249,932,184,20:1,-,Yes,Yes,-,TRUE,26.57,3.85,57.69,373,391,No,B,2
Dysart High School,"El Mirage, AZ",85392,1467,112,21:1,89,Yes,Yes,22,FALSE,22.14,2.87,60.76,773,689,Yes,A,8
West-mec - Dysart High School,"El Mirage, AZ",85392,-,-,-,-,Yes,Yes,-,FALSE,-,-,-,-,-,No,-,-
Fountain Hills High School,"Gila Bend, AZ",85268,481,55,25:1,92,Yes,Yes,9,FALSE,64.03,-,12.21,232,172,Yes,A,11
Fountain Hills Online,"Gilbert, AZ",85268,-,-,-,-,Yes,Yes,-,FALSE,40.54,-,-,24,30,Yes,-,2
Gila Bend High School,"Gilbert, AZ",85337,143,225,13:1,86,Yes,Yes,98,FALSE,-,-,67.31,95,94,No,F,5
Arizona Connections Academy,"Gilbert, AZ",85249,995,182,-,67,Yes,Yes,-,FALSE,45.91,1.13,32.48,1012,981,Yes,B,4
Campo Verde High School,"Gilbert, AZ",85298,1946,29,23:1,95,Yes,Yes,5,FALSE,65.16,3.02,22.61,967,955,Yes,A,19
Cenpatico Schools,"Gilbert, AZ",85249,-,-,-,-,Yes,Yes,-,FALSE,-,-,-,-,-,No,-,-
Cooley Middle School,"Gilbert, AZ",85249,876,131,18:1,-,Yes,Yes,-,FALSE,54.23,4.23,26.43,441,408,Yes,B,10
Desert Hills High School,"Gilbert, AZ",85249,274,-,-,17,Yes,Yes,-,FALSE,36.36,-,38.64,130,115,No,B,4
Eduprize School Gilbert,"Gilbert, AZ",85249,226,167,-,98,Yes,Yes,-,FALSE,62.33,3.04,25.44,665,705,Yes,A,5
Gilbert Christian Schools,"Gilbert, AZ",85249,1287,-,13:1,-,Yes,Yes,-,FALSE,-,-,-,-,-,Yes,-,-
Gilbert Classical Academy High School,"Gilbert, AZ",85234,469,7,20:1,99,Yes,Yes,-,FALSE,-,-,-,-,-,Yes,-,-
Gilbert Classical Academy Junior,"Gilbert, AZ",85234,-,-,-,-,Yes,Yes,-,FALSE,-,-,-,-,-,Yes,-,-
Gilbert Global Academy High School,"Gilbert, AZ",85234,-,-,-,-,Yes,Yes,-,FALSE,-,-,-,-,-,Yes,-,-
Gilbert Global Academy Junior High School,"Gilbert, AZ",85234,-,-,-,-,Yes,Yes,-,FALSE,-,-,-,-,-,Yes,-,-
Gilbert High School,"Gilbert, AZ",85234,2295,97,22:1,87,Yes,Yes,-,FALSE,53.7,3.7,31.19,1199,1140,Yes,B,41
Gilbert Junior High School,"Gilbert, AZ",85234,-,-,-,-,Yes,Yes,-,FALSE,,,,-,-,Yes,-,-
Great Hearts Academies - Arete Prep,"Gilbert, AZ",85298,250,107,-,98,Yes,Yes,-,FALSE,54.2,8.05,25.76,257,297,Yes,A,11
Greenfield Junior High School,"Gilbert, AZ",85298,1142,95,22:1,-,Yes,Yes,-,FALSE,67.22,2.41,23.13,615,580,Yes,B,2
Highland High School,"Gilbert, AZ",85234,3146,48,22:1,95,Yes,Yes,-,FALSE,69.07,3.31,19.48,1559,1463,Yes,A,29
Higley High School,"Gilbert, AZ",85298,2174,35,25:1,95,Yes,Yes,5,FALSE,66.17,3.09,20.31,1150,1010,Yes,A,16
Leading Edge Academy Gilbert Early College,"Gilbert, AZ",85295,222,163,-,93,Yes,Yes,13,FALSE,51.14,-,30.14,109,89,Yes,B,6
Leading Edge Online Academy,"Gilbert, AZ",85295,113,-,-,90,Yes,Yes,-,FALSE,33.48,-,30.87,-,-,Yes,-,-
Learning Foundation And Performing Arts Gilbert,"Gilbert, AZ",85296,237,237,-,80,Yes,Yes,-,FALSE,46.21,-,27.27,109,151,Yes,B,18
Mesquite High School,"Gilbert, AZ",85297,1411,171,23:1,88,Yes,Yes,-,FALSE,42.88,3.51,39.51,720,696,Yes,B,21
Mesquite Jr High School,"Gilbert, AZ",85297,-,-,-,-,Yes,Yes,-,FALSE,40.27,-,43.49,401,367,Yes,C,15
Perry High School,"Gilbert, AZ",85297,3174,39,20:1,92,Yes,Yes,-,FALSE,65.7,7.74,18,1322,1264,Yes,A,9
San Tan Charter School,"Gilbert, AZ",85298,251,168,-,86,Yes,Yes,-,FALSE,60.83,2.65,26.5,491,406,Yes,B,5
South Valley Junior High School,"Gilbert, AZ",85298,-,-,-,-,Yes,Yes,-,FALSE,-,-,-,-,-,Yes,-,-
Apollo High School,"Glendale, AZ",85302,2157,84,24:1,90,Yes,Yes,26,FALSE,12.19,4,71.97,1154,1069,No,B,2
Arrowhead Christian Academy,"Glendale, AZ",85306,-,-,-,-,Yes,Yes,-,FALSE,-,-,-,-,-,No,-,-
Cactus High School,"Glendale, AZ",85302,1170,140,19:1,95,Yes,Yes,19,FALSE,50.17,2.45,35.23,560,487,Yes,A,11
Children's Center For Neurodevelopmental Studies,"Glendale, AZ",85302,-,-,-,-,Yes,Yes,-,FALSE,-,-,-,-,-,No,-,-
Copper Canyon High School,"Glendale, AZ",85302,2195,159,24:1,89,Yes,Yes,23,FALSE,4.64,-,86.23,1097,1072,Yes,B,21
Deer Valley Academy,"Glendale, AZ",85302,6,-,-,-,Yes,Yes,-,FALSE,44,-,-,-,-,Yes,-,0
Deer Valley High School,"Glendale, AZ",85302,1568,109,10:1,89,Yes,Yes,17,FALSE,53.06,2.08,32.13,865,833,Yes,A,-
Desert Heights Preparatory Academy,"Glendale, AZ",85302,-,-,-,-,Yes,Yes,14.7,FALSE,-,-,-,-,-,Yes,-,-
Desert Sky Middle School,"Glendale, AZ",85302,-,-,-,-,Yes,Yes,-,FALSE,38.84,2.76,46.98,326,321,Yes,B,14
E-institute At Grovers,"Glendale, AZ",85302,9,-,-,-,Yes,Yes,-,FALSE,-,-,-,-,-,No,-,-
E-institute At Taylion,"Glendale, AZ",85302,231,-,-,12,Yes,Yes,-,FALSE,-,-,-,-,-,No,-,-
Gary K. Herberger Young Scholars Academy,"Glendale, AZ",85302,-,-,-,-,Yes,Yes,-,FALSE,-,-,-,-,-,Yes,-,-
Glendale High School,"Glendale, AZ",85301,1846,102,22:1,87,Yes,Yes,34,FALSE,8.59,2.26,75.72,945,872,Yes,B,5
Hillcrest Middle School,"Glendale, AZ",85302,-,-,-,-,Yes,Yes,-,FALSE,76.17,3.34,13.7,438,416,Yes,A,9
Hope High School Online,"Glendale, AZ",85302,511,-,-,23,Yes,Yes,-,FALSE,47.42,-,38.2,163,228,No,-,0
Independence High School,"Glendale, AZ",85303,2081,61,23:1,90,Yes,Yes,23,FALSE,8.13,3.87,78.59,1052,997,Yes,B,8
Intelli-school Glendale,"Glendale, AZ",85302,62,-,-,15,Yes,Yes,-,FALSE,59.26,-,27.78,26,25,No,B,1
Ironwood High School,"Glendale, AZ",85302,1904,94,21:1,95,Yes,Yes,-,FALSE,39.33,4.37,42.92,970,915,Yes,A,9
Jefferson Preparatory High School,"Glendale, AZ",85306,113,-,-,-,Yes,Yes,-,FALSE,57.9,-,-,28,33,No,A,-
Life Development Institute,"Glendale, AZ",85302,-,-,-,-,Yes,Yes,-,FALSE,-,-,-,-,-,Yes,-,-
Mountain Ridge High School,"Glendale, AZ",85310,2685,28,25:1,96,Yes,Yes,-,FALSE,67.44,12.24,13,1419,1370,Yes,A,11
Ombudsman - Charter West,"Glendale, AZ",85306,90,-,-,33,Yes,Yes,-,FALSE,50,-,33.05,68,56,No,B,
Raymond S. Kellis,"Glendale, AZ",85308,"1,802",126,21:1,93,Yes,Yes,-,FALSE,23.38,4.29,58.03,849,852,Yes,B,25
