School,City,Zip Code,2023 Student Enrollments,AZ Rank,Student-Teacher Ratio,Graduation Rate%,Dual Enrollment,Offers Electives,Free Lunch (%),Mental Health Services,Racial % - White,Racial % - Asian,Racial % - Hispanic,Gender - Male,Gender - Female,AP Classes,School Grade,Inexperienced Core Acadamic Teachers
Eagleridge Enrichment Program,"Mesa,AZ",85202,567,660,NULL,NULL,No,No,NULL,FALSE,76,2,16,NULL,NULL,Yes,B,NULL
East Valley Academy,"Mesa,AZ",85210,257,NULL,14:1,15,Yes,Yes,NULL,TRUE,8,NULL,76,NULL,NULL,Yes,NULL,5
East Valley High School,"Mesa,AZ",85207,169,NULL,NULL,80,Yes,Yes,82,TRUE,35,NULL,50,NULL,NULL,Yes,NULL,4
Faith Christian School,"Mesa,AZ",85214,NULL,NULL,NULL,NULL,NULL,NULL,51,TRUE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Franklin Junior High School,"Mesa,AZ",85209,NULL,6,23:1,80,No,No,62,TRUE,66.7,1.5,25.7,NULL,NULL,Yes,B,6
Fremont Junior High School,"Mesa,AZ",85012,NULL,192,19:1,NULL,Yes,Yes,22,TRUE,51.9,0.6,37.2,NULL,NULL,Yes,B,8
Heritage Academy,"Mesa,AZ",85210,781,52,NULL,95,Yes,Yes,34,TRUE,71,1,25,376,411,Yes,NULL,3
Highland Jr High School,"Mesa,AZ",85212,1038,NULL,21:1,NULL,No,No,NULL,FALSE,75,3,17,484,470,NULL,NULL,2
Imagine East Mesa Middle School,"Mesa,AZ",85208,124,731,NULL,NULL,No,N0,33,FALSE,57,4,30,77,62,Yes,NULL,NULL
Kino Junior High School,"Mesa,AZ",85203,1029,456,19:1,NULL,No,No,75,TRUE,13,0,76,422,403,Yes,B,7
Learning Foundation,"Mesa,AZ",85203,151,NULL,NULL,50,Yes,Yes,72,FALSE,30,1,50,80,81,Yes,NULL,4
Legacy Elementary School,"Mesa,AZ",85286,1064,50,NULL,NULL,No,No,56,FALSE,49,1,43,NULL,NULL,Yes,NULL,6
Mesa Academy For Advanced Studies,"Mesa,AZ",85207,367,2,17:1,NULL,No,Yes,7,TRUE,78,9,10,201,177,Yes,A,5
Mesa Distance Learning Program,"Mesa,AZ",85203,220,317,4:1,73,No,Yes,53,FALSE,17,NULL,66,31,49,Yes,NULL,3
Mesa High School,"Mesa, AZ",85204,3370,37,20:1,73,Yes,Yes,58,TRUE,29,1,62,1755,1710,Yes,A,7
Mesa Transitional Learning Center,"Mesa, AZ",85210,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Mountain View High School,"Mesa, AZ",85213,3388,58,22:1,86,No,No,NULL,FALSE,59,1,29,987,895,Yes,A,2
Poston Junior High School,"Mesa, AZ",85213,974,265,20:1,NULL,No,No,58,TRUE,43,1,47,399,385,Yes,B,3
Red Mountain High School,"Mesa, AZ",85207,3391,37,21:1,92,Yes,Yes,24,TRUE,70,2,20,1772,1709,Yes,NULL,1
Redeemer Christian School,"Mesa, AZ",85203,67,NULL,8:1,NULL,No,No,NULL,,43,7.5,16.4,NULL,NULL,NULL,NULL,4
Rhodes Junior High School,"Mesa, AZ",85202,733,406,17:1,NULL,No,No,68,FALSE,26,2,58,325,338,Yes,NULL,4
Sequoia Choice School Arizona Distance | earning School,"Mesa, AZ",85204,4482,677,NULL,40,Yes,Yes,30,FALSE,70,2,15,863,843,Yes,NULL,2
Sequoia School For The Deaf And Hard Of Hearing,"Mesa, AZ",85204,NULL,313,NULL,NULL,No,No,58,TRUE,41,5,34,NULL,NULL,Yes,NULL,3
Sequoia Secondary School,"Mesa, AZ",85204,389,105,NULL,70,Yes,Yes,82,FALSE,34,1,53,NULL,NULL,Yes,NULL,5
Shepherd Junior High School,"Mesa, AZ",85208,632,22,NULL,90,No,No,,TRUE,,,,312,357,NULL,NULL,6
Skyline High School,"Mesa, AZ",85208,2318,22,16:1,82,No,No,45,TRUE,54,2,37,1127,1016,Yes,A,1
Smith Junior High School,"Mesa, AZ",85207,864,NULL,18:1,NULL,No,No,48,FALSE,60,1,32,427,342,Yes,B,7
Sonoran Desert School,"Mesa, AZ",85205,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4
Stapley Junior High School,"Mesa, AZ",85213,954,74,21:1,NULL,No,No,25,TRUE,70,2,18,468,482,Yes,B,2
Sun Valley High School,"Mesa, AZ",85204,376,NULL,,20,No,No,4,TRUE,23,0,59,184,168,Yes,NULL,3
Taylor Junior High School,"Mesa, AZ",85204,1052,261,19:1,NULL,No,No,60,FALSE,35,1,53,476,399,Yes,NULL,5
Vista Grove Preparatory Academy Middle School,"Mesa, AZ",85213,29,456,NULL,NULL,No,No,100,FALSE,23,0,49,16,13,Yes,NULL,3
